date,S,I,R,confirmed,deaths,recovered_estimated,population,daily_new_confirmed,daily_new_deaths
2020-09-01,1439229413,89566,4797,94363,4797,0,1439323776,0.0,0.0
2020-09-02,1439229374,89602,4800,94402,4800,0,1439323776,39.0,3.0
2020-09-03,1439229331,89644,4801,94445,4801,0,1439323776,43.0,1.0
2020-09-04,1439229285,89690,4801,94491,4801,0,1439323776,46.0,0.0
2020-09-05,1439229260,89715,4801,94516,4801,0,1439323776,25.0,0.0
2020-09-06,1439229211,89763,4802,94565,4802,0,1439323776,49.0,1.0
2020-09-07,1439229175,89796,4805,94601,4805,0,1439323776,36.0,3.0
2020-09-08,1439229155,89815,4806,94621,4806,0,1439323776,20.0,1.0
2020-09-09,1439229135,89835,4806,94641,4806,0,1439323776,20.0,0.0
2020-09-10,1439229093,89877,4806,94683,4806,0,1439323776,42.0,0.0
2020-09-11,1439229054,89915,4807,94722,4807,0,1439323776,39.0,1.0
2020-09-12,1439229024,89944,4808,94752,4808,0,1439323776,30.0,1.0
2020-09-13,1439228925,90043,4808,94851,4808,0,1439323776,99.0,0.0
2020-09-14,1439228865,90102,4809,94911,4809,0,1439323776,60.0,1.0
2020-09-15,1439228842,543,94391,94934,4809,89582,1439323776,23.0,0.0
2020-09-16,1439228810,536,94430,94966,4810,89620,1439323776,32.0,1.0
2020-09-17,1439228755,547,94474,95021,4810,89664,1439323776,55.0,0.0
2020-09-18,1439228720,537,94519,95056,4811,89708,1439323776,35.0,1.0
2020-09-19,1439228673,558,94545,95103,4811,89734,1439323776,47.0,0.0
2020-09-20,1439228617,564,94595,95159,4811,89784,1439323776,56.0,0.0
2020-09-21,1439228580,565,94631,95196,4811,89820,1439323776,37.0,0.0
2020-09-22,1439228547,578,94651,95229,4811,89840,1439323776,33.0,0.0
2020-09-23,1439228522,583,94671,95254,4811,89860,1439323776,25.0,0.0
2020-09-24,1439228487,576,94713,95289,4812,89901,1439323776,35.0,1.0
2020-09-25,1439228453,571,94752,95323,4812,89940,1439323776,34.0,0.0
2020-09-26,1439228408,585,94783,95368,4813,89970,1439323776,45.0,1.0
2020-09-27,1439228360,537,94879,95416,4813,90066,1439323776,48.0,0.0
2020-09-28,1439228324,514,94938,95452,4813,90125,1439323776,36.0,0.0
2020-09-29,1439228277,537,94962,95499,4813,90149,1439323776,47.0,0.0
2020-09-30,1439228240,542,94994,95536,4813,90181,1439323776,37.0,0.0
2020-10-01,1439228208,520,95048,95568,4813,90235,1439323776,32.0,0.0
2020-10-02,1439228159,533,95084,95617,4813,90271,1439323776,49.0,0.0
2020-10-03,1439228128,518,95130,95648,4813,90317,1439323776,31.0,0.0
2020-10-04,1439228082,509,95185,95694,4813,90372,1439323776,46.0,0.0
2020-10-05,1439228032,521,95223,95744,4813,90410,1439323776,50.0,0.0
2020-10-06,1439227987,532,95257,95789,4813,90444,1439323776,45.0,0.0
2020-10-07,1439227947,547,95282,95829,4813,90469,1439323776,40.0,0.0
2020-10-08,1439227901,557,95318,95875,4813,90505,1439323776,46.0,0.0
2020-10-09,1439227863,561,95352,95913,4813,90539,1439323776,38.0,0.0
2020-10-10,1439227797,581,95398,95979,4813,90585,1439323776,66.0,0.0
2020-10-11,1439227742,588,95446,96034,4813,90633,1439323776,55.0,0.0
2020-10-12,1439227693,600,95483,96083,4813,90670,1439323776,49.0,0.0
2020-10-13,1439227652,594,95530,96124,4813,90717,1439323776,41.0,0.0
2020-10-14,1439227630,580,95566,96146,4814,90752,1439323776,22.0,1.0
2020-10-15,1439227573,604,95599,96203,4814,90785,1439323776,57.0,0.0
2020-10-16,1439227545,584,95647,96231,4814,90833,1439323776,28.0,0.0
2020-10-17,1439227505,592,95679,96271,4814,90865,1439323776,40.0,0.0
2020-10-18,1439227454,597,95725,96322,4814,90911,1439323776,51.0,0.0
2020-10-19,1439227387,613,95776,96389,4814,90962,1439323776,67.0,0.0
